Feature,Importance
categorical__Gender_Female,0.42746702
numerical__BMI,0.39002052
categorical__FAVC_no,0.02502042
categorical__SCC_no,0.021463921
numerical__NCP,0.015333584
numerical__Weight,0.012819051
numerical__TUE,0.012548665
categorical__CALC_no,0.012280129
numerical__Age,0.010219962
categorical__family_history_with_overweight_no,0.010066632
numerical__Height,0.009743771
categorical__CAEC_Frequently,0.007346681
numerical__FAF,0.0069353757
categorical__CAEC_Always,0.006927333
numerical__CH2O,0.005770089
numerical__FCVC,0.005626142
categorical__MTRANS_Walking,0.0051626908
categorical__MTRANS_Automobile,0.004746316
categorical__MTRANS_Public_Transportation,0.00457271
categorical__CALC_Sometimes,0.0033095365
categorical__CAEC_Sometimes,0.0014579184
categorical__CALC_Frequently,0.0011614971
categorical__Gender_Male,0.0
categorical__family_history_with_overweight_yes,0.0
categorical__FAVC_yes,0.0
categorical__CALC_Always,0.0
categorical__SMOKE_yes,0.0
categorical__SMOKE_no,0.0
categorical__CAEC_no,0.0
categorical__SCC_yes,0.0
categorical__MTRANS_Motorbike,0.0
categorical__MTRANS_Bike,0.0
